jset,topic,gene,symbol,rnk,colorcode
Basophils,topic20,11:53613665-53623665;NM_021283.2..Il4,Il4,1,#696969
Basophils,topic20,14:54776886-54786886;NM_016972.2..Slc7a8,Slc7a8,2,#696969
Basophils,topic20,4:62520014-62530014;NM_021498.2..Pole3,Pole3,3,#696969
Basophils,topic20,14:21494769-21504769;NM_001205241.1..Kat6b,Kat6b,4,#696969
Basophils,topic20,1:85889509-85899509;NM_022417.3..Itm2c,Itm2c,5,#696969
Basophils,topic20,19:47687042-47697042;NM_001290825.1..Col17a1,Col17a1,6,#696969
Basophils,topic20,16:17142229-17152229;NM_001306169.1..Ccdc116,Ccdc116,7,#696969
Basophils,topic20,1:40424569-40434569;NM_001294171.1..Il1rl1,Il1rl1,8,#696969
Basophils,topic20,4:62520368-62530368;NM_177607.3..4933430I17Rik,4933430I17Rik,9,#696969
Basophils,topic20,9:31126799-31136799;NM_011176.4..St14,St14,10,#696969
Basophils,topic20,10:82685650-82695650;NM_029102.3..Glt8d2,Glt8d2,11,#696969
Basophils,topic20,16:44022945-44032945;NM_001172107.1..Gramd1c,Gramd1c,12.5,#696969
Basophils,topic20,3:27148854-27158854;NM_001177625.1..Ect2,Ect2,12.5,#696969
Basophils,topic20,18:37992574-38002574;NM_139206.2..Arap3,Arap3,14.5,#696969
Basophils,topic20,7:24606327-24616327;NM_001102613.1..Phldb3,Phldb3,14.5,#696969
Basophils,topic20,18:67338563-67348563;NM_007702.2..Cidea,Cidea,16.5,#696969
Basophils,topic20,3:20237181-20247181;NM_007753.2..Cpa3,Cpa3,16.5,#696969
Basophils,topic20,19:43607324-43617324;NM_008699.2..Nkx2-3,Nkx2-3,18,#696969
Basophils,topic20,1:149956290-149966290;NM_008869.4..Pla2g4a,Pla2g4a,20.5,#696969
Basophils,topic20,11:88094145-88104145;NM_198013.3..Cuedc1,Cuedc1,20.5,#696969
Basophils,topic20,14:21494784-21504784;NM_017479.3..Kat6b,Kat6b,20.5,#696969
Basophils,topic20,4:116802559-116812559;NM_026654.2..Toe1,Toe1,20.5,#696969
Basophils,topic20,14:52015733-52025733;NM_001253696.1..Zfp219,Zfp219,23,#696969
Basophils,topic20,4:43663970-43673970;NM_001085508.2..Tmem8b,Tmem8b,24,#696969
Basophils,topic20,4:43663859-43673859;NM_175517.3..Fam221b,Fam221b,25,#696969
